Provider,Service,Counties Served,Phone,Email,Website/URL,Street,City,State,Zip
Aid and Assist at Home,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)899-7000,info1@addus.com,addus.com,7315 Lee Hwy Suite 125,Chattanooga,TN,37421
Aim Center,,,(423)624-4800,info@aimcenterinc.org,aimcenterinc.org,472 West Martin Luther King Blvd,Chattanooga,TN,37402
All Care Health Services,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)876-5251,info@allcarehealthservices.net,allcarehealthservices.net,4841 Hixson Pike Suite G,Hixson,TN,37343
Allison Senior Living,Advocacy,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker, Murray, Whitfield",(706)935-3686,bastande@aol.com,allisonsenioradvising.com,443 Boynton Dr,Ringgold,GA,30736
Alzheimer\'s Association,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)265-3600,,,,,,
American Legion Post 159 - Hixson,"Advocacy, Benefits","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)619-1197,gamplr69@comcast.net,centennial.legion.org,,,,
"American Red Cross of Southeast 
Tennessee","Advocacy, Clothing, Food, 
Housing, Utility Assistance","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)265-3455,,redcross.org/local/tennessee,4115 S Access Rd,Chattanooga,TN,37406
Avalon Hospice,Health Care,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)892-3737,,avalonhospicecare.us,7315 Lee Hwy Suite 131,Chattanooga,TN,37421
Buffalo Valley,"Housing, Other",,(800)447-2766,info@buffalovalley.org,buffalovalley.org,501 Park Avenue South,Hohenwald,TN,38462
CARIS Healthcare,Health Care,,(423)899-4044,,carishealthcare.com,5959 Shallowford Rd Suite 551,Chattanooga,TN,37421
Catholic Charities,Health Care,"Bledsoe, Bradley, Hamilton, 
Marion, McMinn, Polk, 
Catoosa, Dade, Walker",(423)267-1297,,ccetn.org,5720 Uptain Rd Suite 4800,Chattanooga,TN,37411
Celebrate Recovery,,,(423)309-4254,,celebraterecover.com,,Cleveland,TN,
"Chambliss, Bahner & Stophel",Advocacy,"Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn,
Meigs, Polk, Rhea, 
Sequatchie",(423)756-3000,,chamblisslaw.com,605 Chestnut St Suite 1700,Chattanooga,TN,37450
"Chattanooga Area Brain Injury 
Association","Advocacy, Health Care","Bledsoe, Bradley, Grundy, 
Hamilton, Marion, McMinn, 
Meigs, Polk, Rhea, 
Sequatchie, Catoosa, Dade, 
Walker",(423)634-1572,,,,,,
